0,0.00,0.00,28.23,45.62
5,29.60,50.40,28.33,45.34
10,29.60,50.40,28.39,45.17
15,29.60,50.40,28.43,45.07
20,29.60,50.40,28.46,45.03
25,29.60,50.40,28.48,44.96
30,32.00,50.40,28.50,44.90
35,32.00,50.40,28.53,44.87
40,32.00,50.40,28.55,44.83
45,32.00,50.40,28.57,44.83
50,32.00,50.40,28.59,44.83
55,32.00,50.40,28.59,44.83
60,32.00,50.40,28.61,44.80
65,32.00,50.40,28.64,44.86
70,32.00,50.40,28.64,44.82
75,32.00,50.40,28.64,44.82
80,32.00,50.40,28.64,44.79
85,32.00,50.40,28.65,44.75
90,32.00,50.40,28.67,44.75
95,32.00,50.40,28.68,44.75
100,32.90,46.10,28.69,44.75
105,32.90,46.10,28.70,44.75
110,32.90,46.10,28.71,44.75
115,32.90,46.10,28.72,44.75
120,32.90,46.10,28.72,44.75
125,32.90,46.10,28.73,44.75
130,32.90,46.10,28.74,44.75
135,32.90,46.10,28.74,44.75
140,32.90,45.30,28.76,44.75
145,32.90,45.30,28.77,44.75
150,32.90,45.30,28.77,44.75
155,32.90,45.30,28.78,44.75
160,32.90,45.30,28.79,44.75
165,32.90,45.30,28.79,44.77
170,35.00,46.40,28.80,44.77
175,35.00,46.40,28.82,44.77
180,35.00,46.40,28.82,44.77
185,35.00,46.40,28.83,44.77
190,35.70,49.70,28.84,44.77
195,35.70,49.70,28.84,44.77
200,35.70,49.70,28.85,44.77
205,35.70,49.70,28.86,44.77
210,35.70,49.70,28.87,44.77
215,35.70,49.70,28.88,44.77
220,35.70,49.70,28.89,44.77
225,35.70,49.70,28.89,44.77
230,35.70,49.70,28.90,44.74
235,35.70,49.70,28.91,44.74
240,39.30,45.30,28.91,44.77
245,39.30,45.30,28.92,44.74
250,39.30,45.30,28.93,44.74
255,39.30,44.10,28.93,44.74
260,39.30,44.10,28.94,44.74
265,39.70,43.30,28.94,44.74
270,39.70,43.30,28.95,44.74
275,39.70,43.30,28.97,44.74
280,39.70,43.30,28.98,44.74
285,39.70,43.30,28.98,44.77
290,39.70,43.30,28.99,44.73
295,40.00,40.30,29.00,44.73
